"Full Name of the Session Holder of the Session","Day of Week","Session's Session Start","Session's Session End","Appointment Date","Appointment Time","Slot Type","Slot Duration","Availability","DNA","Booked Time to Slot Time","Arrive Time to Send In Time","Slot Time to Send In Time","Slot Time to Arrive Time","Consultation Time","",
"Unknown","Mon","08-Sep-2025","08-Sep-2025","08-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","3",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","23",
"","","","","","","","","Booked","Attended","-649","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-603","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","3258","Unknown","Unknown","Unknown","Unknown","1",
"","","15-Sep-2025","15-Sep-2025","15-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","6",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","20",
"","","","","","","","","Booked","Attended","-710","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-689","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-608","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-494","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","4798","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","5053","Unknown","Unknown","Unknown","Unknown","1",
"","","22-Sep-2025","22-Sep-2025","22-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","25",
"","","","","","","","","Booked","Attended","17806","Unknown","Unknown","Unknown","Unknown","1",
"","","29-Sep-2025","29-Sep-2025","29-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","24",
"","","","","","","","","Booked","Attended","-609","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","3631","Unknown","Unknown","Unknown","Unknown","1",
"","","06-Oct-2025","06-Oct-2025","06-Oct-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","3",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","23",
"","","","","","","","","Booked","Attended","3436","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","3612","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","3709","Unknown","Unknown","Unknown","Unknown","1",
"","","13-Oct-2025","13-Oct-2025","13-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","20-Oct-2025","20-Oct-2025","20-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","27-Oct-2025","27-Oct-2025","27-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","03-Nov-2025","03-Nov-2025","03-Nov-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","Tue","09-Sep-2025","09-Sep-2025","09-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","24",
"","","","","","","","","Booked","Attended","-541","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","7898","Unknown","Unknown","Unknown","Unknown","1",
"","","16-Sep-2025","16-Sep-2025","16-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","25",
"","","","","","","","","Booked","Attended","-729","Unknown","Unknown","Unknown","Unknown","1",
"","","23-Sep-2025","23-Sep-2025","23-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","5",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","21",
"","","","","","","","","Booked","Attended","-768","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","-539","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","351","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","384","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","396","Unknown","Unknown","Unknown","Unknown","1",
"","","30-Sep-2025","30-Sep-2025","30-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","4",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","22",
"","","","","","","","","Booked","Attended","-686","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","386","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","459","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","18156","Unknown","Unknown","Unknown","Unknown","1",
"","","07-Oct-2025","07-Oct-2025","07-Oct-2025","00:00","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","24",
"","","","","","","","","Booked","Attended","875","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","9304","Unknown","Unknown","Unknown","Unknown","1",
"","","14-Oct-2025","14-Oct-2025","14-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","21-Oct-2025","21-Oct-2025","21-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","28-Oct-2025","28-Oct-2025","28-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","04-Nov-2025","04-Nov-2025","04-Nov-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","Wed","10-Sep-2025","10-Sep-2025","10-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","24",
"","","","","","","","","Booked","Attended","-959","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","498","Unknown","Unknown","Unknown","Unknown","1",
"","","17-Sep-2025","17-Sep-2025","17-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","25",
"","","","","","","","","Booked","Attended","-910","Unknown","Unknown","Unknown","Unknown","1",
