id,site_id,item_id,check_type_id,frequency,required,warn_before,scheduled_day,responsible_team_id,active,created_at
99,2,15,7,1 mon,true,3 days,,,true,2025-08-29T12:41:55.595262+00:00
100,2,15,1,7 days,true,3 days,,,true,2025-08-29T12:42:27.289922+00:00
101,2,17,4,1 mon,true,3 days,,,true,2025-08-29T12:52:17.616758+00:00
102,2,17,1,7 days,true,3 days,,,true,2025-08-29T12:52:38.946204+00:00
103,2,17,7,7 days,true,3 days,,,true,2025-08-29T12:52:59.29572+00:00
104,2,17,3,7 days,true,3 days,,,true,2025-08-29T12:53:20.470752+00:00
105,2,28,4,1 mon,true,3 days,,,true,2025-08-29T12:56:54.832569+00:00
106,2,28,3,7 days,true,3 days,,,true,2025-08-29T12:58:47.268758+00:00
107,2,28,1,7 days,true,3 days,,,true,2025-08-29T13:00:00.241325+00:00
108,2,28,7,7 days,true,3 days,,,true,2025-08-29T13:00:57.627662+00:00
109,2,21,3,7 days,true,3 days,,,true,2025-08-29T13:03:21.422402+00:00
54,2,1,4,7 days,true,3 days,,,true,2025-08-27T14:49:45.533101+00:00
110,2,21,1,7 days,true,3 days,,,true,2025-08-29T13:03:50.03626+00:00
111,2,21,7,7 days,true,3 days,,,true,2025-08-29T13:04:21.313825+00:00
112,2,21,4,1 mon,true,3 days,,,true,2025-08-29T13:05:02.484257+00:00
113,2,20,4,1 mon,true,3 days,,,true,2025-08-29T13:05:38.679303+00:00
114,2,20,3,7 days,true,3 days,,,true,2025-08-29T13:06:12.10769+00:00
115,2,20,1,7 days,true,3 days,,,true,2025-08-29T13:06:50.041939+00:00
116,2,20,7,7 days,true,3 days,,,true,2025-08-29T13:07:18.411869+00:00
117,2,27,4,1 mon,true,3 days,,,true,2025-08-29T13:07:58.777066+00:00
118,2,27,3,7 days,true,3 days,,,true,2025-08-29T13:08:20.101626+00:00
89,2,7,4,1 mon,true,3 days,,,true,2025-08-29T12:35:28.910742+00:00
46,2,14,4,1 mon,true,3 days,7,,true,2025-08-27T14:32:44.778965+00:00
43,2,14,3,7 days,true,3 days,Thu,,true,2025-08-27T14:30:32.262601+00:00
45,2,14,7,7 days,true,3 days,,,true,2025-08-27T14:31:59.918863+00:00
44,2,14,1,7 days,true,3 days,Mon,,true,2025-08-27T14:31:13.512864+00:00
55,2,1,2,7 days,true,3 days,,,true,2025-08-27T14:54:26.422614+00:00
56,2,1,7,7 days,true,3 days,,,true,2025-08-27T14:55:09.306007+00:00
57,2,1,33,1 mon,true,3 days,,,true,2025-08-27T16:01:08.859147+00:00
58,2,5,4,7 days,true,3 days,,,true,2025-08-27T16:02:39.320401+00:00
59,2,5,3,7 days,true,3 days,,,true,2025-08-27T16:03:17.72505+00:00
60,2,5,1,7 days,true,3 days,,,true,2025-08-27T16:03:58.461176+00:00
51,2,1,6,1 day,true,3 days,,,true,2025-08-27T14:45:27.293701+00:00
61,2,16,1,7 days,true,3 days,,,true,2025-08-27T16:05:11.611576+00:00
62,2,16,3,7 days,true,3 days,,,true,2025-08-27T16:05:38.503806+00:00
63,2,16,2,7 days,true,3 days,,,true,2025-08-27T16:06:08.868183+00:00
64,2,10,3,7 days,true,3 days,,,true,2025-08-27T16:06:54.555779+00:00
65,2,10,1,7 days,true,3 days,,,true,2025-08-27T16:07:30.044347+00:00
67,2,10,7,7 days,true,3 days,,,true,2025-08-27T16:08:56.24125+00:00
68,2,10,4,1 mon,true,3 days,,,true,2025-08-27T16:09:43.98057+00:00
69,2,2,34,1 day,true,3 days,,,true,2025-08-27T16:11:05.540202+00:00
71,2,29,34,1 day,true,3 days,,,true,2025-08-27T16:12:10.177256+00:00
72,2,11,4,7 days,true,3 days,,,true,2025-08-29T12:12:12.484309+00:00
73,2,11,1,7 days,true,3 days,,,true,2025-08-29T12:12:38.175252+00:00
74,2,11,2,7 days,true,3 days,,,true,2025-08-29T12:13:06.576915+00:00
75,2,11,7,7 days,true,3 days,,,true,2025-08-29T12:13:28.199688+00:00
76,2,11,6,1 day,true,3 days,,,true,2025-08-29T12:15:15.25996+00:00
77,2,3,1,7 days,true,3 days,,,true,2025-08-29T12:17:34.845686+00:00
79,2,3,7,7 days,true,3 days,,,true,2025-08-29T12:18:17.931657+00:00
80,2,3,4,1 mon,true,3 days,,,true,2025-08-29T12:18:54.070713+00:00
78,2,3,3,7 days,true,3 days,,,true,2025-08-29T12:17:56.789441+00:00
81,2,4,4,1 mon,true,3 days,,,true,2025-08-29T12:22:04.585838+00:00
82,2,4,3,7 days,true,3 days,,,true,2025-08-29T12:23:44.755879+00:00
83,2,4,7,7 days,true,3 days,,,true,2025-08-29T12:24:17.613599+00:00
84,2,4,1,7 days,true,3 days,,,true,2025-08-29T12:24:39.396726+00:00
85,2,6,3,7 days,true,3 days,,,true,2025-08-29T12:25:25.446873+00:00
86,2,6,7,7 days,true,3 days,,,true,2025-08-29T12:25:58.203088+00:00
87,2,6,1,7 days,true,3 days,,,true,2025-08-29T12:26:40.920366+00:00
88,2,6,4,1 mon,true,3 days,,,true,2025-08-29T12:33:54.68472+00:00
90,2,7,3,7 days,true,3 days,,,true,2025-08-29T12:35:52.106052+00:00
91,2,7,1,7 days,true,3 days,,,true,2025-08-29T12:36:21.209473+00:00
92,2,7,7,7 days,true,3 days,,,true,2025-08-29T12:36:50.098092+00:00
93,2,13,1,7 days,true,3 days,,,true,2025-08-29T12:38:15.485667+00:00
94,2,13,7,1 mon,true,3 days,,,true,2025-08-29T12:38:51.288244+00:00
95,2,13,4,1 mon,true,3 days,,,true,2025-08-29T12:39:34.120206+00:00
96,2,15,4,1 mon,true,3 days,,,true,2025-08-29T12:40:28.206326+00:00
98,2,15,3,7 days,true,3 days,,,true,2025-08-29T12:41:02.747349+00:00
119,2,27,1,7 days,true,3 days,,,true,2025-08-29T13:08:43.607204+00:00
120,2,27,7,7 days,true,3 days,,,true,2025-08-29T13:09:06.248706+00:00
122,2,18,1,7 days,true,3 days,,,true,2025-08-29T13:11:24.931283+00:00
123,2,18,7,7 days,true,3 days,,,true,2025-08-29T13:11:48.651855+00:00
124,2,18,3,7 days,true,3 days,,,true,2025-08-29T13:12:10.431362+00:00
125,2,19,4,1 mon,true,3 days,,,true,2025-08-29T13:13:21.788628+00:00
126,2,19,3,7 days,true,3 days,,,true,2025-08-29T13:13:48.04605+00:00
127,2,19,1,7 days,true,3 days,,,true,2025-08-29T13:14:12.388392+00:00
128,2,19,7,7 days,true,3 days,,,true,2025-08-29T13:14:33.579887+00:00
129,2,22,1,7 days,true,3 days,,,true,2025-08-29T13:15:07.215487+00:00
130,2,22,3,7 days,true,3 days,,,true,2025-08-29T13:15:33.97279+00:00
131,2,22,7,7 days,true,3 days,,,true,2025-08-29T13:15:56.122109+00:00
132,2,22,4,1 mon,true,3 days,,,true,2025-08-29T13:16:25.768026+00:00
133,2,23,3,7 days,true,3 days,,,true,2025-08-29T13:17:42.76337+00:00
134,2,23,1,7 days,true,3 days,,,true,2025-08-29T13:18:05.794435+00:00
135,2,23,7,7 days,true,3 days,,,true,2025-08-29T13:18:26.44972+00:00
136,2,23,4,1 mon,true,3 days,,,true,2025-08-29T13:18:50.503357+00:00
137,2,26,4,1 mon,true,3 days,,,true,2025-08-29T13:19:18.87401+00:00
138,2,26,3,7 days,true,3 days,,,true,2025-08-29T13:19:39.444902+00:00
139,2,26,1,7 days,true,3 days,,,true,2025-08-29T13:20:03.266846+00:00
140,2,26,7,7 days,true,3 days,,,true,2025-08-29T13:20:32.677781+00:00
141,2,25,4,1 mon,true,3 days,,,true,2025-08-29T13:21:10.466573+00:00
142,2,25,3,7 days,true,3 days,,,true,2025-08-29T13:21:34.04542+00:00
143,2,25,1,7 days,true,3 days,,,true,2025-08-29T13:21:53.546702+00:00
144,2,25,7,7 days,true,3 days,,,true,2025-08-29T13:22:14.428735+00:00
70,2,12,34,1 day,true,3 days,,,true,2025-08-27T16:11:31.959023+00:00
121,2,18,4,1 mon,true,3 days,,,true,2025-08-29T13:10:50.326294+00:00
145,2,8,1,7 days,true,3 days,,,true,2025-08-29T13:28:24.888623+00:00
146,2,8,33,7 days,true,3 days,,,true,2025-08-29T13:31:26.544152+00:00
147,2,9,4,1 mon,true,3 days,,,true,2025-08-29T13:33:22.759632+00:00
148,2,9,1,7 days,true,3 days,,,true,2025-08-29T13:33:54.820772+00:00
149,2,9,7,7 days,true,3 days,,,true,2025-08-29T13:34:19.760242+00:00
52,2,1,1,7 days,true,3 days,Mon,,true,2025-08-27T14:48:28.350243+00:00
